Source	Target	Weight
Shenzhen	Hanzhong	1.204436
Guangzhou	Hanzhong	0.537387
Shanghai	Hanzhong	0.77391
Hefei	Jinhua	0.516598
Hefei	Suzhou	0.983816
Hefei	Yancheng	0.50297
Hefei	Wenzhou	0.511071
Hefei	Taizhou	0.564079
Hefei	Wuhan	0.568665
Hefei	Hangzhou	0.803534
Hefei	Wuxi	0.976748
Hefei	Yangzhou	0.94515
Hefei	Suzhou	7.827557
Hefei	Ningbo	0.786109
Hefei	Jiaxing	0.515865
Suzhou	Hefei	1.454887
Wuhan	Hefei	0.710244
Hangzhou	Hefei	1.321748
Wuxi	Hefei	0.798665
Suzhou	Hefei	2.860075
Ningbo	Hefei	0.547143
Hohhot	Beijing	0.573797
Xi'an	Hohhot	0.511899
Tianjin	Hohhot	0.853778
Beijing	Hohhot	4.17032
Baoding	Hohhot	0.62985
Huzhou	Jinhua	1.449662
Huzhou	Suzhou	2.499436
Huzhou	Zhoushan	0.84844
Huzhou	Shaoxing	1.866541
Huzhou	Wenzhou	0.947707
Huzhou	Hangzhou	9.792782
Huzhou	Wuxi	1.312368
Huzhou	Anqing	1.741899
Huzhou	Ningbo	1.737932
Huzhou	Jiaxing	6.958308
Huzhou	Taizhou	1.156805
Huzhou	Nantong	0.566711
Huzhou	Shanghai	1.62515
Jinhua	Huzhou	1.896635
Suzhou	Huzhou	8.367312
Shaoxing	Huzhou	2.204662
Wenzhou	Huzhou	0.944868
Hangzhou	Huzhou	32.296486
Wuxi	Huzhou	2.416955
Anqing	Huzhou	1.124135
Ningbo	Huzhou	2.44141
Jiaxing	Huzhou	9.823778
Hefei	Huzhou	0.853835
Taizhou	Huzhou	0.867406
Nantong	Huzhou	0.584248
Nanjing	Huzhou	1.181335
Shanghai	Huzhou	6.229906
Changsha	Ji'an	1.37421
Jinhua	Ji'an	0.905338
Suzhou	Ji'an	0.555
Wenzhou	Ji'an	0.586147
Shenzhen	Ji'an	5.382443
Hangzhou	Ji'an	1.078703
Guangzhou	Ji'an	2.581485
Ningbo	Ji'an	0.615489
Jiaxing	Jinhua	2.139135
Jiaxing	Suzhou	3.598421
Jiaxing	Shaoxing	3.61141
Jiaxing	Yancheng	0.779737
Jiaxing	Wenzhou	1.729643
Jiaxing	Taizhou	0.678966
Jiaxing	Hangzhou	14.432068
Jiaxing	Wuxi	0.990282
Jiaxing	Suzhou	0.634361
Jiaxing	Ningbo	3.693609
Jinhua	Jiaxing	1.826203
Suzhou	Jiaxing	7.876203
Shaoxing	Jiaxing	2.825714
Wenzhou	Jiaxing	1.170771
Hangzhou	Jiaxing	33.588196
Wuxi	Jiaxing	1.171673
Ningbo	Jiaxing	3.374962
Jinan	Liaocheng	18.883177
Jinan	Shijiazhuang	0.895132
Jinan	Tianjin	1.078327
Jinan	Linyi	8.51797
Zhengzhou	Jinan	0.500695
Liaocheng	Jinan	6.490489
Shijiazhuang	Jinan	0.533628
Tianjin	Jinan	1.015451
Linyi	Jinan	4.635376
Shanghai	Jinan	0.780733
Lanzhou	Aqsu	0.570357
Liaocheng	Tianjin	0.615263
Liaocheng	Linyi	0.928647
Zhengzhou	Liaocheng	0.710583
Tianjin	Liaocheng	1.629342
Linyi	Liaocheng	1.717895
Shanghai	Liaocheng	0.552726
Linfen	Sanmenxia	0.680019
Zhengzhou	Linfen	0.859229
Xi'an	Linfen	2.453383
Tianjin	Linfen	0.841034
Beijing	Linfen	3.630601
Linyi	Yancheng	1.094737
Linyi	Yangzhou	0.564793
Linyi	Suzhou	0.658233
Linyi	Nantong	0.604474
Suzhou	Linyi	1.045545
Yancheng	Linyi	0.912105
Hangzhou	Linyi	0.667613
Wuxi	Linyi	0.505094
Tianjin	Linyi	0.588872
Nantong	Linyi	0.588947
Nanjing	Linyi	0.688891
Lishui	Jinhua	6.231936
Lishui	Shaoxing	0.690094
Lishui	Wenzhou	7.696842
Lishui	Hangzhou	1.448703
Lishui	Ningbo	0.904004
Lishui	Taizhou	1.73609
Jinhua	Lishui	21.83094
Suzhou	Lishui	0.739267
Shaoxing	Lishui	2.365564
Huzhou	Lishui	1.101447
Wenzhou	Lishui	19.704699
Hangzhou	Lishui	15.868233
Ningbo	Lishui	3.879079
Jiaxing	Lishui	1.598177
Taizhou	Lishui	3.733102
Shanghai	Lishui	2.519248
Lu'an	Suzhou	0.772575
Lu'an	Wuxi	0.697237
Lu'an	Suzhou	0.616729
Lu'an	Hefei	14.134079
Lu'an	Nanjing	0.616898
Suzhou	Lu'an	3.696898
Wuhan	Lu'an	0.671034
Hangzhou	Lu'an	1.842368
Wuxi	Lu'an	1.768177
Suzhou	Lu'an	0.69062
Ningbo	Lu'an	0.680489
Jiaxing	Lu'an	0.664361
Hefei	Lu'an	43.204418
Nanjing	Lu'an	2.129699
Luzhou	Chongqing	4.103402
Chongqing	Luzhou	16.655939
Kunming	Luzhou	0.714436
Meizhou	Shenzhen	1.73812
Meizhou	Guangzhou	1.234248
Shenzhen	Meizhou	17.84609
Guangzhou	Meizhou	16.116974
Nanchang	Changsha	0.59688
Nanchang	Jinhua	0.589868
Nanchang	Wuhan	0.55047
Nanchang	Ji'an	17.215752
Changsha	Nanchang	1.486241
Jinhua	Nanchang	0.608177
Shenzhen	Nanchang	1.320301
Wuhan	Nanchang	1.101692
Hangzhou	Nanchang	1.139041
Guangzhou	Nanchang	1.094492
Ji'an	Nanchang	5.787481
Hefei	Nanchang	0.517444
Nanjing	Jinhua	0.662256
Nanjing	Suzhou	3.020695
Nanjing	Shaoxing	0.529718
Nanjing	Yancheng	8.173928
Nanjing	Wenzhou	0.672406
Nanjing	Taizhou	7.690338
Nanjing	Hangzhou	1.133647
Nanjing	Wuxi	4.632068
Nanjing	Yangzhou	15.476522
Nanjing	Suzhou	3.059887
Nanjing	Ningbo	0.893308
Nanjing	Jiaxing	0.645583
Nanjing	Hefei	2.962838
Nanjing	Taizhou	0.733816
Nanjing	Nantong	6.744887
Suzhou	Nanjing	3.925094
Yancheng	Nanjing	2.716955
Taizhou	Nanjing	2.334756
Wuhan	Nanjing	0.521805
Hangzhou	Nanjing	1.65
Wuxi	Nanjing	3.396222
Yangzhou	Nanjing	4.765075
Suzhou	Nanjing	0.980789
Ningbo	Nanjing	0.520733
Hefei	Nanjing	2.523421
Nantong	Nanjing	2.831128
Nanning	Yulin	18.924944
Nanning	Guangzhou	0.562594
Yulin	Nanning	7.166128
Shenzhen	Nanning	1.700714
Guangzhou	Nanning	2.249774
Nantong	Suzhou	4.448233
Nantong	Yancheng	10.167557
Nantong	Taizhou	9.314136
Nantong	Wuxi	2.978496
Nantong	Yangzhou	3.08671
Nantong	Suzhou	0.865282
Nantong	Ningbo	0.649906
Nantong	Jiaxing	0.726372
Suzhou	Nantong	13.192839
Shaoxing	Nantong	0.50765
Yancheng	Nantong	8.783797
Taizhou	Nantong	7.211278
Hangzhou	Nantong	1.690357
Wuxi	Nantong	5.062143
Yangzhou	Nantong	2.225846
Suzhou	Nantong	0.711654
Ningbo	Nantong	0.930677
Jiaxing	Nantong	1.11921
Hefei	Nantong	0.730188
Suzhou	Nanyang	1.08765
Shenzhen	Nanyang	1.420771
Wuhan	Nanyang	1.372087
Hangzhou	Nanyang	1.391391
Guangzhou	Nanyang	1.072068
Tianjin	Nanyang	0.555019
Ningbo	Jinhua	5.111034
Ningbo	Suzhou	1.138045
Ningbo	Shaoxing	12.244079
Ningbo	Yancheng	0.609962
Ningbo	Wenzhou	4.332669
Ningbo	Hangzhou	5.086222
Ningbo	Wuxi	0.793365
Ningbo	Suzhou	1.281353
Jinhua	Ningbo	5.165169
Suzhou	Ningbo	2.453947
Shaoxing	Ningbo	10.594361
Wenzhou	Ningbo	3.109455
Hangzhou	Ningbo	13.10468
Wuxi	Ningbo	0.961936
Suzhou	Ningbo	0.66391
Qingdao	Zhoushan	0.515113
Qingdao	Liaocheng	2.384098
Qingdao	Yancheng	0.658929
Qingdao	Jinan	4.441391
Qingdao	Tianjin	0.622763
Qingdao	Beijing	0.649586
Qingdao	Linyi	7.474624
Zhengzhou	Qingdao	0.520977
Liaocheng	Qingdao	1.188647
Yancheng	Qingdao	0.505282
Jinan	Qingdao	6.671109
Hangzhou	Qingdao	0.520188
Tianjin	Qingdao	0.91703
Nanjing	Qingdao	0.547293
Beijing	Qingdao	2.123929
Linyi	Qingdao	6.444869
Shanghai	Qingdao	1.52109
Qingyang	Xi'an	0.953421
Qingyang	Lanzhou	1.810508
Xi'an	Qingyang	17.142744
Suzhou	Qingyang	0.925263
Tianjin	Qingyang	0.626147
Lanzhou	Qingyang	8.312012
Shanghai	Qingyang	0.632218
Sanmenxia	Nanyang	1.06329
Suzhou	Sanmenxia	1.301974
Nanyang	Sanmenxia	2.725188
Shanghai	Sanmenxia	0.815038
Shanghai	Changsha	0.690602
Shanghai	Jinhua	3.289229
Shanghai	Suzhou	24.630018
Shanghai	Shaoxing	4.935545
Shanghai	Yancheng	9.155828
Shanghai	Wenzhou	3.926335
Shanghai	Shenzhen	0.750677
Shanghai	Taizhou	6.569023
Shanghai	Wuhan	1.028835
Shanghai	Hangzhou	5.672575
Shanghai	Kunming	0.600357
Shanghai	Wuxi	7.093834
Shanghai	Yangzhou	5.688365
Shanghai	Enshi	0.736579
Shanghai	Guangzhou	0.518045
Shanghai	Suzhou	2.589493
Shanghai	Ningbo	7.002538
Shanghai	Tianjin	0.906936
Shanghai	Jiaxing	14.990226
Shanghai	Ji'an	1.286805
Shanghai	Hefei	3.415733
Shanghai	Taizhou	4.42562
Shanghai	Nanyang	1.404267
Shanghai	Nantong	19.115601
Shanghai	Nanchang	1.779154
Shanghai	Nanjing	3.982218
Shanghai	Lanzhou	0.686015
Shanghai	Lu'an	4.390263
Shanghai	Linyi	1.908628
Jinhua	Shanghai	0.936147
Suzhou	Shanghai	20.054661
Shaoxing	Shanghai	1.266579
Yancheng	Shanghai	1.995771
Wenzhou	Shanghai	0.782086
Shenzhen	Shanghai	0.895301
Taizhou	Shanghai	1.20844
Wuhan	Shanghai	0.656466
Hangzhou	Shanghai	4.833252
Wuxi	Shanghai	3.332594
Yangzhou	Shanghai	1.024868
