all	kl64	kl47	product
754	3	2	YbeD family protein
755	3	2	RNA polymerase sigma factor RpoD
756	4	3	Non-coding region
757	5	5	PA3496 family putative envelope integrity protein
758	8	5	oxygen-dependent tRNA uridine(34) hydroxylase TrhO
759	5	3	DUF1289 domain-containing protein
760	5	4	Non-coding region
761	6	4	Non-coding region
762	6	4	succinate dehydrogenase%2C cytochrome b556 subunit
763	5	4	Non-coding region
764	2	5	succinate dehydrogenase iron-sulfur subunit
765	3	0	hypothetical protein
766	8	4	Non-coding region
767	6	5	Non-coding region
768	6	5	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
769	4	3	Non-coding region
770	2	2	dihydrolipoyl dehydrogenase
771	3	5	ADP-forming succinate--CoA ligase subunit beta
772	5	3	succinate--CoA ligase subunit alpha
773	7	5	Non-coding region
774	18	34	tryptophan--tRNA ligase
775	11	6	DUF808 domain-containing protein
776	5	16	KPN_02809 family neutral zinc metallopeptidase
777	10	4	cation:proton antiporter
778	4	4	Non-coding region
779	3	9	Ig-like domain-containing protein
780	5	11	Non-coding region
781	4	3	Non-coding region
782	11	7	Non-coding region
783	4	3	Non-coding region
784	5	7	Non-coding region
785	4	3	Ig-like domain-containing protein
786	5	4	hypothetical protein
787	4	6	Non-coding region
788	13	2	Non-coding region
789	9	9	Ig-like domain-containing protein
790	3	2	BapA/Bap/LapF family large adhesin
791	5	0	Non-coding region
792	5	2	Non-coding region
793	1	4	Non-coding region
794	7	6	Non-coding region
795	6	8	Non-coding region
796	6	1	Non-coding region
797	4	9	Non-coding region
798	4	7	Non-coding region
799	6	1	Non-coding region
800	14	4	Non-coding region
801	25	5	poly alpha-glucosyltransferase
802	10	7	Non-coding region
803	8	6	CapA family protein
804	6	5	Non-coding region
805	5	4	metalloprotease
806	11	2	MGMT family protein
807	2	2	RidA family protein
808	17	4	TetR/AcrR family transcriptional regulator
809	5	1	carbamoyl-phosphate synthase large subunit
810	6	6	Non-coding region
811	10	5	Non-coding region
812	14	11	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
813	9	5	Non-coding region
814	2	4	hypothetical protein
815	5	1	ribosome assembly RNA-binding protein YhbY
816	3	3	ATP-dependent zinc metalloprotease FtsH
817	10	3	Non-coding region
818	9	4	dihydropteroate synthase
819	14	10	DUF5713 family protein
820	2	3	hypothetical protein
821	3	4	Non-coding region
822	6	3	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
823	7	7	Non-coding region
824	4	2	class I SAM-dependent methyltransferase
825	33	7	MFS transporter
826	15	9	glycerol kinase GlpK
827	14	1	Non-coding region
828	3	5	glycerol-3-phosphate dehydrogenase
829	17	6	Non-coding region
830	28	3	phosphoenolpyruvate carboxykinase (GTP)
831	8	8	Non-coding region
832	7	4	diacylglycerol/lipid kinase family protein
833	4	5	metallophosphoesterase family protein
834	13	3	biofilm-associated Ig-like repeat protein Blp1
835	10	8	Non-coding region
836	4	1	Non-coding region
837	10	4	Non-coding region
838	5	2	Non-coding region
839	18	5	Non-coding region
840	39	2	Non-coding region
842	14	7	Non-coding region
843	8	7	Non-coding region
844	8	11	co-chaperone GroES
845	6	11	Non-coding region
846	2	3	diacylglycerol kinase
847	4	4	MBL fold metallo-hydrolase
848	6	5	glycerophosphodiester phosphodiesterase
849	8	9	multidrug efflux RND transporter permease subunit
850	10	9	Non-coding region
851	7	7	Non-coding region
852	9	6	DUF4112 domain-containing protein
853	5	3	protease HtpX
854	7	5	lytic transglycosylase domain-containing protein
855	5	3	tRNA 2-thiocytidine(32) synthetase TtcA
856	3	3	SCP2 sterol-binding domain-containing protein
857	2	4	transglycosylase SLT domain-containing protein
858	9	8	transcription elongation factor GreB
859	11	4	Non-coding region
860	14	7	PucR family transcriptional regulator
861	5	2	NAD(P)/FAD-dependent oxidoreductase
862	8	3	Non-coding region
863	13	4	cupin domain-containing protein
864	11	1	Non-coding region
865	9	3	amino acid permease
866	16	5	Non-coding region
867	17	5	Non-coding region
868	23	6	hypothetical protein
869	30	7	hypothetical protein
870	13	3	Non-coding region
871	6	3	helix-turn-helix transcriptional regulator
872	7	4	YagK/YfjJ domain-containing protein
873	7	1	hypothetical protein
874	7	8	hypothetical protein
875	4	6	nucleoid-associated protein
876	7	5	hypothetical protein
877	16	21	Non-coding region
878	6	5	hypothetical protein
879	5	8	Non-coding region
880	6	5	hypothetical protein
881	12	4	hypothetical protein
882	2	6	hypothetical protein
883	11	7	YqaJ-like viral recombinase
884	24	18	UvrD-helicase domain-containing protein
885	9	6	Non-coding region
886	4	5	Non-coding region
887	5	2	hypothetical protein
888	9	9	TetR/AcrR family transcriptional regulator
889	10	9	Non-coding region
890	9	3	Non-coding region
891	8	19	T6SS immunity protein Tli4 family protein
892	7	6	esterase/lipase family protein
893	4	5	Non-coding region
894	5	12	VENN motif pre-toxin domain-containing protein
895	6	6	AraC family transcriptional regulator
896	1	8	Non-coding region
897	6	6	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase
898	11	8	restriction endonuclease
899	10	8	DUF6388 family protein
900	4	3	hypothetical protein
901	7	5	citrulline utilization hydrolase CtlX
902	8	2	amino acid permease
903	13	6	Glu/Leu/Phe/Val family dehydrogenase
904	35	25	Non-coding region
905	6	7	aspartate aminotransferase family protein
906	5	5	arginine N-succinyltransferase
907	1	4	succinylglutamate-semialdehyde dehydrogenase
908	6	6	Non-coding region
909	4	4	succinylglutamate desuccinylase
910	117	123	MFS transporter
911	8	6	class II aldolase/adducin family protein
912	6	2	2-hydroxyacid dehydrogenase
913	8	4	Zn-dependent hydrolase
914	7	2	histone deacetylase family protein
915	8	15	LysR family transcriptional regulator
916	26	14	helix-turn-helix transcriptional regulator
917	12	22	hypothetical protein
918	8	9	hypothetical protein
919	11	16	transposase
920	7	11	hypothetical protein
921	31	59	hypothetical protein
922	5	18	asparaginase
923	9	12	nuclear transport factor 2 family protein
924	14	25	helix-turn-helix domain-containing protein
925	11	22	Non-coding region
926	6	12	FAD-dependent monooxygenase
927	5	9	aldehyde dehydrogenase family protein
928	8	9	NAD(P)-dependent alcohol dehydrogenase
929	4	7	tyrosine-type recombinase/integrase
930	43	21	Non-coding region
931	13	14	SgcJ/EcaC family oxidoreductase
932	7	12	delta-poly-L-ornithine synthetase PosA
933	15	15	Non-coding region
934	11	12	Non-coding region
935	6	7	Non-coding region
936	31	24	GNAT family N-acetyltransferase
937	23	16	YjhX family toxin
938	8	5	hypothetical protein
939	8	9	hypothetical protein
940	10	10	hypothetical protein
941	3	3	IS3 family transposase
942	16	5	transposase
943	11	7	metal-dependent hydrolase
944	7	3	TetR/AcrR family transcriptional regulator
945	14	15	nitroreductase family protein
946	6	6	TetR/AcrR family transcriptional regulator
947	12	6	glycerate kinase
948	12	18	FdhF/YdeP family oxidoreductase
949	5	8	Non-coding region
950	11	6	Non-coding region
951	5	3	formate dehydrogenase accessory sulfurtransferase FdhD
952	13	13	YkvA family protein
953	6	4	EF-P lysine aminoacylase EpmA
954	15	10	Tim44 domain-containing protein
955	10	12	Non-coding region
956	6	6	DNA repair protein RadA
957	4	6	amino acid permease
958	8	10	Non-coding region
959	13	8	LPS translocon maturation chaperone LptM
960	7	9	diaminopimelate epimerase
961	11	8	ADP-ribosylglycohydrolase family protein
962	14	13	alpha/beta fold hydrolase
963	6	3	LysE family translocator
964	5	2	site-specific tyrosine recombinase/integron integrase
965	4	3	electron transfer flavoprotein subunit beta/FixA family protein
966	7	7	electron transfer flavoprotein subunit alpha/FixB family protein
967	5	2	DNA gyrase subunit A
968	16	14	Non-coding region
969	18	5	Non-coding region
970	6	6	ArnT family glycosyltransferase
971	13	9	Non-coding region
972	2	10	GtrA family protein
973	4	9	ChbG/HpnK family deacetylase
974	6	7	A1S_2622 family ABC transporter permease subunit
975	20	15	ABC transporter permease
976	12	9	HlyD family secretion protein
977	4	6	TolC family protein
978	20	17	Non-coding region
979	7	3	3-phosphoserine/phosphohydroxythreonine transaminase
980	3	32	hypothetical protein
981	3	7	hypothetical protein
982	17	17	YaiI/YqxD family protein
983	8	4	PilZ domain-containing protein
984	26	30	Non-coding region
985	11	10	lipoprotein-releasing ABC transporter ATP-binding protein LolD
986	15	22	Non-coding region
987	9	18	Non-coding region
988	7	21	lysophospholipid acyltransferase family protein
989	16	27	signal peptide peptidase SppA
990	9	14	alpha/beta fold hydrolase
991	7	15	phosphoribosylglycinamide formyltransferase
992	9	9	Non-coding region
993	7	5	chloramphenicol efflux transporter CxpE
994	7	15	DnaA regulatory inactivator Hda
995	7	12	rhombotarget A
996	4	14	Non-coding region
997	8	19	CSLREA domain-containing protein
998	9	7	Non-coding region
999	6	15	DUF3106 domain-containing protein
1000	11	11	hypothetical protein
1001	9	13	TrmH family RNA methyltransferase
1002	7	10	class 1 fructose-bisphosphatase
1003	17	10	NF038105 family protein
1004	12	15	Tol-Pal system beta propeller repeat protein TolB
1005	17	19	cell envelope integrity protein TolA
1006	11	10	protein TolR
1007	13	19	protein TolQ
1008	8	9	M20 family metallopeptidase
1009	9	14	Non-coding region
1010	13	11	Holliday junction branch migration DNA helicase RuvB
1011	8	3	Holliday junction branch migration protein RuvA
1012	11	5	Non-coding region
1013	10	9	phosphoribosylformylglycinamidine synthase
1014	8	7	Non-coding region
1015	8	11	Non-coding region
1016	8	10	Non-coding region
1017	21	22	multidrug effflux MFS transporter
1018	7	15	KGW motif small protein
1019	11	10	NIF3 1
1020	11	11	nicotinate-nicotinamide nucleotide adenylyltransferase
1021	13	8	peroxiredoxin
1022	66	106	Dph6-related ATP pyrophosphatase
1023	25	16	7-cyano-7-deazaguanine synthase QueC
1024	12	14	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase
1025	18	11	ornithine uptake porin CarO type 1
1026	8	9	CysB family HTH-type transcriptional regulator
1027	9	15	sulfate/molybdate ABC transporter ATP-binding protein
1028	5	10	sulfate ABC transporter permease subunit CysW
1029	5	8	sulfate ABC transporter permease subunit CysT
1030	24	7	RBBP9/YdeN family alpha/beta hydrolase
1031	35	19	sulfate ABC transporter substrate-binding protein
1032	33	7	aminodeoxychorismate lyase
1033	33	8	endolytic transglycosylase MltG
1034	26	6	dTMP kinase
1035	66	78	PaaI family thioesterase
1036	14	11	Non-coding region
1037	14	14	Do family serine endopeptidase
1038	18	13	acyl-CoA thioesterase
1039	8	6	GNAT family N-acetyltransferase
1040	7	12	translation elongation factor 4
1041	7	2	Non-coding region
1042	17	12	signal peptidase I
1043	7	9	ribonuclease III
1044	8	10	Non-coding region
1045	8	11	NF038104 family lipoprotein
1046	11	31	tRNA-(ms[2]io[6]A)-hydroxylase
1047	8	8	SDR family oxidoreductase
1048	7	13	hypothetical protein
1049	6	18	PaaI family thioesterase
1050	5	12	Hsp70 family protein
1051	6	4	Non-coding region
1052	8	6	hypothetical protein
1053	16	27	Non-coding region
1054	9	8	pyridoxal phosphate-dependent aminotransferase
1055	7	14	Non-coding region
1056	8	7	hypothetical protein
1057	13	8	A1S_2505 family phage non-structural protein
1058	9	17	excinuclease ABC subunit UvrB
1059	8	5	Non-coding region
1060	6	3	lipocalin family protein
1061	8	10	EamA family transporter RarD
1062	5	3	glyceraldehyde-3-phosphate dehydrogenase
1063	5	0	Non-coding region
1064	10	15	hypothetical protein
1065	10	6	hypothetical protein
1066	12	11	Obg family GTPase CgtA
1067	18	14	glutamate 5-kinase
1068	1	7	HAD-IB family hydrolase
1069	7	8	DUF1615 domain-containing protein
1070	6	6	tRNA dihydrouridine synthase DusB
1071	8	10	NAD(P)H-dependent flavin oxidoreductase
1072	16	9	VIT1/CCC1 transporter family protein
1073	3	5	tetratricopeptide repeat protein
1074	5	3	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase
1075	2	2	hypothetical protein
1076	6	4	hypothetical protein
1077	11	20	Non-coding region
1078	13	7	glycosyltransferase family 2 protein
1079	10	13	hypothetical protein
1080	13	14	hypothetical protein
1081	8	13	cryptochrome/photolyase family protein
1082	12	11	Non-coding region
1083	8	8	FKBP-type peptidyl-prolyl cis-trans isomerase
1084	8	5	Non-coding region
1085	10	8	D-alanyl-D-alanine carboxypeptidase PBP6B
1086	18	18	M61 family metallopeptidase
1087	12	12	Non-coding region
1088	10	32	NADP-dependent isocitrate dehydrogenase
1089	11	8	Non-coding region
1090	11	10	Non-coding region
1091	15	12	rRNA large subunit pseudouridine synthase E
1092	8	5	NADP-dependent isocitrate dehydrogenase
1093	12	9	hypothetical protein
1094	7	3	hypothetical protein
1095	6	9	Non-coding region
1096	7	3	LysR family transcriptional regulator
1097	11	6	L-cystine transporter
1098	11	13	PhzF family phenazine biosynthesis protein
1099	10	14	M16 family metallopeptidase
1100	8	6	Non-coding region
1101	7	6	Non-coding region
1102	16	14	DUF3144 domain-containing protein
1103	10	21	CYTH and CHAD domain-containing protein
1104	12	22	Non-coding region
1105	12	25	DUF962 domain-containing protein
1106	6	9	glutamate-1-semialdehyde 2%2C1-aminomutase
1107	19	22	phosphopantetheine-binding protein
1108	17	18	RluA family pseudouridine synthase
1109	16	23	RNA polymerase-associated protein RapA
1110	10	15	Non-coding region
1111	8	14	Non-coding region
1112	17	22	AI-2E family transporter
1113	18	30	HTH-type transcriptional repressor FabR
1114	14	21	ferredoxin reductase
1115	10	15	fatty acid desaturase family protein
1116	7	9	NAD(P)H-dependent oxidoreductase
1117	19	22	LysR family transcriptional regulator
1118	8	14	SIMPL domain-containing protein
1119	21	24	diaminobutyrate--2-oxoglutarate transaminase
1120	4	6	pyridoxal phosphate-dependent decarboxylase family protein
1121	10	17	Non-coding region
1122	4	8	aldehyde dehydrogenase family protein
1123	11	4	Non-coding region
1124	13	4	Lrp/AsnC family transcriptional regulator
1125	16	22	Non-coding region
1126	12	13	amino acid permease
1127	16	15	Non-coding region
1128	15	10	substrate-binding domain-containing protein
1129	21	19	phosphate ABC transporter permease subunit PstC
1130	25	19	phosphate ABC transporter permease PstA
1131	7	9	Non-coding region
1132	4	43	phosphate ABC transporter ATP-binding protein PstB
1133	8	39	protease SohB
1134	6	16	Ig-like repeat protein Blp2
1135	11	10	Non-coding region
1136	9	5	DUF2238 domain-containing protein
1137	16	6	adenylosuccinate lyase
1138	12	10	Non-coding region
1139	11	10	high frequency lysogenization protein HflD
1140	15	18	NUDIX hydrolase
1141	11	12	gamma carbonic anhydrase family protein
1142	5	8	D-alanyl-D-alanine carboxypeptidase PBP5/6
1143	2	8	MCR_0457 family protein
1144	7	12	5'/3'-nucleotidase SurE
1145	7	4	peptidoglycan DD-metalloendopeptidase family protein
1146	14	17	LysR family transcriptional regulator
1147	11	10	Lon protease family protein
1148	12	15	Non-coding region
1149	13	11	Non-coding region
1150	10	9	AmpG family muropeptide MFS transporter
1151	17	13	Non-coding region
1152	13	14	lactoylglutathione lyase
1153	19	12	50S ribosomal protein L31
1154	27	21	EAL domain-containing protein
1155	9	10	Non-coding region
1156	7	9	hypothetical protein
1157	7	7	Non-coding region
1158	9	10	EF-P beta-lysylation protein EpmB
1159	11	16	elongation factor P
1160	6	6	Non-coding region
1161	7	11	Non-coding region
1162	5	2	YbdD/YjiX family protein
1163	12	8	Non-coding region
1164	17	10	Non-coding region
1165	17	8	Non-coding region
1166	9	4	PaaX family transcriptional regulator C-terminal domain-containing protein
1167	4	2	SDR family oxidoreductase
1168	13	4	fatty acid desaturase family protein
1169	9	1	fatty acid desaturase family protein
1170	4	4	metal-dependent hydrolase
1171	5	2	hydrolase
1172	5	4	LysR substrate-binding domain-containing protein
1173	5	11	S1 family peptidase
1174	54	48	flavin-containing monooxygenase
1175	12	9	alpha/beta fold hydrolase
1176	7	2	metal-dependent hydrolase
1177	3	20	NAD-dependent epimerase/dehydratase family protein
1178	4	7	Non-coding region
1179	9	2	AraC family transcriptional regulator
1180	8	2	hypothetical protein
1181	7	7	hypothetical protein
1182	12	8	Non-coding region
1183	11	10	TetR/AcrR family transcriptional regulator
1184	7	9	hypothetical protein
1185	12	9	threo-3-hydroxy-L-aspartate ammonia-lyase
1186	13	18	Non-coding region
1187	6	8	helix-turn-helix transcriptional regulator
1188	14	16	acinetobactin non-ribosomal peptide synthetase subunit BasA
1189	5	4	Non-coding region
1190	8	6	acinetobactin non-ribosomal peptide synthetase subunit BasB
1191	3	12	Non-coding region
1192	9	7	Non-coding region
1193	9	9	ferric acinetobactin ABC transporter permease subunit BauD
1194	15	15	ferric acinetobactin ABC transporter permease subunit BauC
1195	8	8	ferric acinetobactin ABC transporter ATP-binding protein BauE
1196	8	10	siderophore-binding periplasmic lipoprotein BauB
1197	8	9	TonB-dependent receptor
1198	13	7	Non-coding region
1199	7	4	putative histamine N-monooxygenase
1200	11	4	acinetobactin non-ribosomal peptide synthetase subunit BasD
1201	9	6	Non-coding region
1202	5	11	Non-coding region
1203	14	8	Non-coding region
1204	10	24	(2%2C3-dihydroxybenzoyl)adenylate synthase BasE
1205	15	17	acinetobactin biosynthesis bifunctional isochorismatase/aryl carrier protein BasF
1206	19	15	acinetobactin biosynthesis histidine decarboxylase BasG
1272	25	10	translation elongation factor Ts
1273	26	3	DUF3465 domain-containing protein
1274	7	8	AzlC family ABC transporter permease
1275	9	6	AzlD domain-containing protein
1276	5	3	septal ring lytic transglycosylase RlpA family protein
1277	7	3	lytic murein transglycosylase B
1278	10	3	rod shape-determining protein RodA
1279	8	5	Non-coding region
1280	8	2	hypothetical protein
1281	5	3	ABC transporter permease
1282	4	7	ABC transporter ATP-binding protein
1283	8	2	site-specific integrase
1284	9	5	hypothetical protein
1285	6	7	hypothetical protein
1286	20	17	RecT family recombinase
1287	47	30	hypothetical protein
1288	23	15	hypothetical protein
1289	27	5	hypothetical protein
1290	38	1	Cro/CI family transcriptional regulator
1291	49	4	HNH endonuclease
1292	3	2	ATP-binding protein
1293	6	8	hypothetical protein
1294	4	6	hypothetical protein
1295	9	1	hypothetical protein
1296	3	3	hypothetical protein
1297	9	12	Non-coding region
1298	7	5	Bbp19 family protein
1299	5	5	hypothetical protein
1304	11	8	methyl-coenzyme M reductase
1305	6	8	Non-coding region
1306	10	3	lytic transglycosylase domain-containing protein
1307	8	2	Non-coding region
1308	3	4	Non-coding region
1309	11	2	hypothetical protein
1310	4	4	Non-coding region
1311	3	3	hypothetical protein
1312	10	4	DUF1974 domain-containing protein
1313	4	5	Non-coding region
1314	8	13	SGNH/GDSL hydrolase family protein
1315	6	3	Non-coding region
1316	3	7	hypothetical protein
1317	13	2	holin
1318	30	11	hypothetical protein
1319	4	4	putative quorum-sensing-regulated virulence factor
1320	9	9	alpha/beta fold hydrolase
1321	1	5	Non-coding region
1322	5	2	hypothetical protein
1323	3	0	multidrug efflux RND transporter outer membrane subunit AdeH
1324	11	5	multidrug efflux RND transporter permease subunit AdeG
1325	11	3	Non-coding region
1326	4	4	Non-coding region
1327	13	5	Non-coding region
1328	3	0	multidrug efflux RND transporter periplasmic adaptor subunit AdeF
1373	4	8	SixA phosphatase family protein
1374	10	5	type II secretion system protein GspL
1375	7	2	type II secretion system protein GspM
1376	13	10	CvpA family protein
1377	14	2	amidophosphoribosyltransferase
1378	3	3	M48 family metalloprotease
1379	8	4	Non-coding region
1380	5	2	hypothetical protein
1381	22	20	2-hydroxyacid dehydrogenase
1382	12	7	M48 family metalloprotease
1383	14	3	Non-coding region
1384	5	4	GatB/YqeY domain-containing protein
1385	5	5	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
1386	6	4	DUF6670 family protein
1387	9	2	ATP-binding protein
1388	9	9	DUF3336 domain-containing protein
1389	3	7	protein kinase domain-containing protein
1390	7	2	Non-coding region
1391	11	2	ShlB/FhaC/HecB family hemolysin secretion/activation protein
1392	9	6	Non-coding region
1393	13	4	two-partner secretion domain-containing protein
1394	5	6	Non-coding region
1395	9	7	Non-coding region
1396	16	6	Non-coding region
1397	8	5	Non-coding region
1398	7	7	Non-coding region
1399	17	5	Non-coding region
1400	10	13	Non-coding region
1401	5	6	Non-coding region
1402	8	7	Non-coding region
1403	3	4	Non-coding region
1404	5	2	Non-coding region
1405	3	4	hypothetical protein
1406	4	7	hypothetical protein
1407	7	4	hypothetical protein
1408	3	3	hypothetical protein
1409	10	10	Non-coding region
1410	10	13	hypothetical protein
1411	18	10	hypothetical protein
1412	7	4	hypothetical protein
1413	8	8	transposase
1414	3	14	Non-coding region
1415	7	24	TetR/AcrR family transcriptional regulator
1416	22	20	aspartate aminotransferase family protein
1417	28	86	Non-coding region
1418	10	30	CoA-acylating methylmalonate-semialdehyde dehydrogenase
1419	9	9	Non-coding region
1420	14	7	amino acid permease
1421	3	4	DUF2171 domain-containing protein
1422	3	7	acyl-CoA dehydrogenase
1423	7	9	PIG-L deacetylase family protein
1424	4	1	glycosyltransferase
1425	5	4	NirD/YgiW/YdeI family stress tolerance protein
1426	2	8	hypothetical protein
1427	4	6	LysE family translocator
1428	14	4	alpha/beta fold hydrolase
1429	14	4	Non-coding region
1430	7	9	sodium/glutamate symporter
1431	6	5	ATP-binding protein
1432	11	6	FadR/GntR family transcriptional regulator
1433	11	4	hypothetical protein
1434	2	5	Csu fimbrial major subunit CsuAB
1435	7	4	Csu fimbrial biogenesis protein CsuA
1477	4	16	methionine ABC transporter permease
1478	7	11	methionine ABC transporter ATP-binding protein
1479	1	6	MetQ/NlpA family ABC transporter substrate-binding protein
1480	12	8	phosphoribosylamine--glycine ligase
1481	6	1	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
1482	10	2	Non-coding region
1483	9	14	DNA-binding transcriptional regulator Fis
1484	4	3	zinc-ribbon and DUF3426 domain-containing protein
1485	2	8	hypothetical protein
1486	7	14	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
1487	1	3	Non-coding region
1488	7	1	helix-turn-helix transcriptional regulator
1489	9	5	circularly permuted type 2 ATP-grasp protein
1490	4	6	Non-coding region
1491	8	9	alpha-E domain-containing protein
1492	6	3	transglutaminase family protein
1493	14	5	alanine racemase
1494	6	5	replicative DNA helicase
1495	3	8	Non-coding region
1496	5	7	50S ribosomal protein L9
1497	8	4	30S ribosomal protein S6
1498	10	6	cytochrome o ubiquinol oxidase subunit IV
1499	11	2	cytochrome o ubiquinol oxidase subunit I
1500	11	4	Non-coding region
1501	1	4	ubiquinol oxidase subunit II
1502	6	5	RDD family protein
1503	6	4	phosphoenolpyruvate synthase
1504	5	2	Non-coding region
1505	6	5	Non-coding region
1506	15	3	posphoenolpyruvate synthetase regulatory kinase/phosphorylase PpsR
1507	14	6	poly-beta-1%2C6 N-acetyl-D-glucosamine exporter porin PgaA
1508	16	6	Non-coding region
1509	8	2	poly-beta-1%2C6-N-acetyl-D-glucosamine N-deacetylase PgaB
1510	5	7	Non-coding region
1511	9	7	poly-beta-1%2C6-N-acetyl-D-glucosamine synthase
1512	6	4	poly-beta-1%2C6-N-acetyl-D-glucosamine biosynthesis protein PgaD
1513	5	8	hypothetical protein
1514	7	5	LLM class flavin-dependent oxidoreductase
1515	12	7	hypothetical protein
1516	7	4	glycine zipper domain-containing protein
1517	5	3	type 1 glutamine amidotransferase domain-containing protein
1518	4	6	peptide chain release factor 1
1519	6	5	peptide chain release factor N(5)-glutamine methyltransferase
1520	10	4	ABC transporter permease
1521	6	4	aliphatic sulfonate ABC transporter substrate-binding protein
1522	21	8	AraC family transcriptional regulator
1523	11	4	3-hydroxyacyl-CoA dehydrogenase
1524	8	5	acyl-CoA dehydrogenase family protein
1525	5	9	Non-coding region
1526	14	4	AMP-binding protein
1527	12	5	flavin reductase family protein
1528	13	5	HesA/MoeB/ThiF family protein
1529	11	8	ABC1 kinase family protein
1530	9	6	dihydroneopterin aldolase
1531	13	6	potassium-transporting ATPase subunit KdpA
1532	11	3	Non-coding region
1533	12	7	potassium-transporting ATPase subunit KdpB
1534	7	3	Non-coding region
1535	12	6	potassium-transporting ATPase subunit KdpC
1536	8	6	sensor histidine kinase
1537	7	8	Non-coding region
1538	7	8	response regulator
1539	3	2	glutamine synthetase family protein
1540	8	3	Non-coding region
1541	3	3	DUF2799 domain-containing protein
1542	5	8	MFS transporter
1543	18	6	Non-coding region
1544	4	10	autotransporter assembly complex protein TamA
1545	6	1	Non-coding region
1546	6	3	translocation/assembly module TamB domain-containing protein
1547	8	1	Non-coding region
1548	15	4	Non-coding region
1549	17	4	Non-coding region
1550	11	4	Non-coding region
1551	12	10	hypothetical protein
1552	5	2	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
1553	8	3	Non-coding region
1554	2	6	hypothetical protein
1555	10	2	ion transporter
1556	9	6	MFS transporter
1557	5	6	membrane protein
1558	16	1	DUF4198 domain-containing protein
1559	8	5	LysR family transcriptional regulator
1560	8	2	DUF441 domain-containing protein
1561	9	8	hypothetical protein
1562	60	62	GNAT family N-acetyltransferase
1563	4	3	pseudouridine synthase
1564	7	9	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
1565	73	53	Non-coding region
1566	6	11	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
1567	15	11	RNA chaperone Hfq
1568	11	7	DMT family transporter
1569	13	7	oxygen-insensitive NAD(P)H nitroreductase
1570	22	24	hypothetical protein
1571	23	9	peptidylprolyl isomerase
1572	20	11	Non-coding region
1573	14	8	glutamine amidotransferase
1574	10	7	ethanolamine ammonia-lyase subunit EutC
1575	14	15	ethanolamine ammonia-lyase subunit EutB
1576	8	7	ethanolamine permease
1577	11	11	Non-coding region
1578	7	6	acetaldehyde dehydrogenase ExaC
1579	13	5	Non-coding region
1580	17	10	helix-turn-helix domain-containing protein
1581	13	6	alpha/beta hydrolase
1582	7	7	iron-dependent methanol dehydrogenase
1583	26	15	Non-coding region
1584	24	5	AAA family ATPase
1585	32	13	5-carboxymethyl-2-hydroxymuconate Delta-isomerase
1586	11	8	hydroxyethylthiazole kinase
1587	8	4	hypothetical protein
1588	4	3	hypothetical protein
1589	8	13	aminopeptidase N
1590	8	4	Non-coding region
1591	8	2	Non-coding region
1592	5	11	Csu type fimbrial protein
1593	10	4	fimbria/pilus outer membrane usher protein
1594	7	7	Non-coding region
1595	13	5	Csu type fimbrial protein
1596	1	4	Non-coding region
1597	3	3	glutathione S-transferase family protein
1598	8	8	SDR family NAD(P)-dependent oxidoreductase
1599	6	3	chorismate mutase
1600	6	4	Lrp/AsnC family transcriptional regulator
1601	3	6	hypothetical protein
1602	3	3	IS3 family transposase
1603	10	2	TetR/AcrR family transcriptional regulator
1604	10	4	TonB-dependent receptor
1605	10	7	Non-coding region
1606	48	3	Non-coding region
1607	5	7	mechanosensitive ion channel family protein
1608	3	3	hypothetical protein
1609	4	4	hypothetical protein
1610	7	5	hypothetical protein
1611	7	6	TonB-dependent siderophore receptor
1612	6	17	Non-coding region
1613	2	4	Non-coding region
1614	4	3	OmpW/AlkL family protein
1615	7	19	hypothetical protein
1616	10	38	ATP-binding cassette domain-containing protein
1617	3	23	Non-coding region
1618	20	7	universal stress protein
1619	8	16	hypothetical protein
1620	11	10	hypothetical protein
1621	11	7	Non-coding region
1622	12	8	Non-coding region
1623	5	9	MgtC/SapB family protein
1624	7	5	benzoate/H(+) symporter BenE family transporter
1625	3	8	Lrp/AsnC family transcriptional regulator
1626	2	6	leucine efflux protein LeuE
1627	8	6	Non-coding region
1628	2	5	HTH-type transcriptional regulator AceR
1629	4	9	chlorhexidine efflux PACE transporter AceI
1630	4	10	Non-coding region
1631	7	6	3-oxoacyl-ACP reductase
1632	10	12	MaoC family dehydratase
1633	10	14	serine hydrolase domain-containing protein
1634	14	1	Non-coding region
1635	16	5	TetR family transcriptional regulator
1636	10	16	Non-coding region
1637	5	4	DNA polymerase III subunit gamma/tau
