all	kl64	kl47	product
169	19	7	Non-coding region
170	7	3	hypothetical protein
171	11	4	TonB-dependent siderophore receptor
172	23	1	Non-coding region
173	15	4	MBL fold metallo-hydrolase
174	15	10	YkgJ family cysteine cluster protein
175	4	0	IMP dehydrogenase
176	2	10	phosphoglucosamine mutase
177	43	28	pyridoxamine 5'-phosphate oxidase
178	32	27	single-stranded-DNA-specific exonuclease RecJ
179	8	2	Non-coding region
180	12	4	putative porin
181	11	5	peptide chain release factor 2
182	9	6	ArsR/SmtB family transcription factor
183	11	6	alkene reductase
184	9	3	3-deoxy-D-manno-octulosonic acid transferase
185	10	5	16S rRNA (uracil(1498)-N(3))-methyltransferase
186	8	2	mechanosensitive ion channel family protein
187	14	7	DUF805 domain-containing protein
188	6	6	acetate--CoA ligase
189	13	3	Non-coding region
190	8	5	cysteine hydrolase family protein
191	8	5	dimethylsulfone monooxygenase SfnG
192	5	9	FMN reductase
193	15	3	response regulator
194	11	4	hypothetical protein
195	8	4	hybrid sensor histidine kinase/response regulator
196	18	2	Non-coding region
197	1	3	Non-coding region
198	5	1	Non-coding region
199	10	2	DUF485 domain-containing protein
200	6	2	Non-coding region
201	5	12	ion channel
202	4	5	BCCT family transporter
203	20	3	Non-coding region
204	11	6	porin Omp33-36
205	10	6	Non-coding region
206	10	0	GGDEF domain-containing protein
207	8	4	Non-coding region
208	7	2	excinuclease ABC subunit UvrA
209	7	5	Non-coding region
210	13	2	Non-coding region
211	11	4	TetR/AcrR family transcriptional regulator
212	11	7	DUF1304 domain-containing protein
213	15	1	GlpM family protein
214	2	6	DUF475 domain-containing protein
215	10	3	MFS transporter
216	10	3	Non-coding region
217	13	4	single-stranded DNA-binding protein
218	11	2	AzlC family ABC transporter permease
219	3	0	amino acid permease
220	7	4	Non-coding region
221	2	6	MocR-like pyridoxine biosynthesis transcription factor PdxR
222	10	8	4-aminobutyrate--2-oxoglutarate transaminase
223	119	70	Non-coding region
225	3	1	LysR substrate-binding domain-containing protein
226	4	4	isochorismate family cysteine hydrolase YcaC
227	9	5	pirin family protein
228	15	3	NAD(P)/FAD-dependent oxidoreductase
229	5	2	Non-coding region
230	8	3	SAM-dependent methyltransferase
231	14	3	GFA family protein
232	9	4	multidrug efflux MFS transporter SxtP
233	8	4	multidrug efflux pump transcriptional activator SxtR
234	28	8	DMT family transporter
235	24	4	hypothetical protein
236	12	6	hypothetical protein
237	14	6	Non-coding region
238	16	6	helix-turn-helix domain-containing protein
239	10	4	Non-coding region
240	8	4	TetR/AcrR family transcriptional regulator
241	12	3	hypothetical protein
242	11	7	hypothetical protein
243	9	2	DUF6500 family protein
244	10	6	AbaSI family restriction endonuclease
245	7	2	hypothetical protein
246	8	1	DHCW motif cupin fold protein
247	5	8	Non-coding region
248	9	9	hypothetical protein
249	8	1	DNA/RNA non-specific endonuclease
250	4	3	LysE family translocator
251	6	2	hypothetical protein
252	17	2	AraC family transcriptional regulator
253	16	5	hypothetical protein
254	9	1	imidazole glycerol phosphate synthase subunit HisF
255	10	1	homoserine kinase
256	12	4	DUF1294 domain-containing protein
257	7	1	DMT family transporter
258	12	4	helix-turn-helix domain-containing protein
259	22	6	3'-5' exonuclease
260	4	8	DUF805 domain-containing protein
261	5	7	imidazole glycerol phosphate synthase subunit HisH
262	13	4	GNAT family N-acetyltransferase
263	11	3	GNAT family acetyltransferase
264	13	8	Non-coding region
265	9	2	ATP-binding protein
266	11	5	Non-coding region
267	12	8	osmolarity response regulator transcription factor OmpR
268	7	8	Tex family protein
269	10	3	Non-coding region
270	19	6	Non-coding region
271	11	6	bifunctional SulP family inorganic anion transporter/carbonic anhydrase
272	4	2	Non-coding region
273	10	3	SDR family NAD(P)-dependent oxidoreductase
274	12	3	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
275	5	5	Non-coding region
276	4	1	energy-dependent translational throttle protein EttA
277	10	5	tetratricopeptide repeat protein
278	12	4	hypothetical protein
279	3	3	cation efflux protein%2C CzcI-like
280	14	7	methyltransferase family protein
